Название,Картинка,Цена
"Монитор LCD 24"" Samsung LS24C310EAIXCI Black, IPS, 1920x1080, 1000:1 (Mega), 250cd/m2, 75Hz, 178/178, 5ms, VGA, HDMI",https://enter.kg//images/stories/virtuemart/product/3_1685.jpeg,8800 Сом
"Монитор LCD 24"" Samsung LS24C366EAIXCI Black, VA, Curved, 1920x1080, 3000:1 (Mega), 250cd/m2, 75Hz, 178/178, 4ms, VGA, HDMI, Headset-Out",https://enter.kg//images/stories/virtuemart/product/12_8076.png,8800 Сом
"Монитор LCD 24"", Samsung LC24F390FHIXCI Curved 1920x1080, 3000:1 (ст.), 250 cd/м², 178° (Г) /178° (В), D-Sub(VGA), HDMI",https://enter.kg//images/stories/virtuemart/product/monitor-samsung-lc24f390fhixci-238-izognutyj-chernyj-chastota-60gc-matrica-va-s-razresheniem-19201080-otnosheniem-storon-16-9-ya_4945.jpg,8800 Сом
"LG 24"" 24MP400-B IPS LED 5ms/1000000:1/178/178/1920x1080 FullHD VGA HDMI",https://enter.kg//images/stories/virtuemart/product/mnt-24mp400-03-ergonomic-design-m_6981.jpg,8976 Сом
"SAMSUNG 27"" LS27C310EAMXUE IPS 5ms,10000000:1,250 кд/м2, 1920x1080,178/178 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/21_6971.jpg,9240 Сом
"Монитор X-game OF215LED-FP, 21.5"", VA-матрица, VGA, HDMI, LED, 250кд/м2, 5000000:1/1000:1, 6.5 мс, угол обзора(гор/верт)178/178, 1920*1080, 75 Гц, HDMI кабель в комплекте, Чёрный",https://enter.kg//images/stories/virtuemart/product/monitor-x-game-of215led-fp-215-va-matrica-vga-hdmi-led-250kd-m2-5000000-1-1000-1-65-ms-ugol-obzoragor-vert178-178-19201080-75-gc_1248.jpg,9240 Сом
"AOC 23.8"" 24B3HM VA LED 4ms,20000000:1,250 кд/м2,1920 x 1080,178/178 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/bc17ef97923943d9b412c4cbe85e5fdef177845df14607a65d585ef21638e4c3_8173.jpg,9416 Сом
"Elista 24"" ELS-I24VFHD VA 4000:1 250kd/m2 1920x1080 165Hrz HDMI,DP",https://enter.kg//images/yandex.png,9416 Сом
"LG 27"" 27MP400 IPS LED 5ms/1000000:1/178/178/1920x1080 FullHD VGA HDMI",https://enter.kg//images/stories/virtuemart/product/mnt-24mp400-03-ergonomic-design-d_1429.jpg,9504 Сом
"LG 27MP400-B, 27"" IPS FULL HD (1920x1080), Black, 75Hz, 250cd/m2, 178/178, VGA, HDMI",https://enter.kg//images/stories/virtuemart/product/9_4708.jpg,9504 Сом
"Монитор LCD 23.8"" Elista ELS-V24VFHD, 1920x1080,IPS, 5ms, 165Hz, 250cd/m2, 1000:1, HDMI, DP, VESA 100x100, Black",https://enter.kg//images/yandex.png,9592 Сом
"ASUS 24"" VA24EHF IPS LED 1ms,10000000:1,250 кд/м2, 1920x1080 100Hz, 178/178 HDMI",https://enter.kg//images/stories/virtuemart/product/32_5277.png,9636 Сом
